Name,NumCells,NumActive,NumInactive,FractionActive,FractionInactive,Parameters
E - 02(fld 01 wv DAPI - DAPI),0,0,0,NaN,NaN,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 02 wv DAPI - DAPI),1,0,1,0.0,1.0,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 03 wv DAPI - DAPI),1,1,0,1.0,0.0,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 04 wv DAPI - DAPI),0,0,0,NaN,NaN,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 05 wv DAPI - DAPI),1,1,0,1.0,0.0,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 06 wv DAPI - DAPI),0,0,0,NaN,NaN,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 07 wv DAPI - DAPI),0,0,0,NaN,NaN,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 08 wv DAPI - DAPI),1,0,1,0.0,1.0,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 09 wv DAPI - DAPI),1,0,1,0.0,1.0,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 10 wv DAPI - DAPI),2,2,0,1.0,0.0,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 11 wv DAPI - DAPI),0,0,0,NaN,NaN,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
E - 02(fld 12 wv DAPI - DAPI),0,0,0,NaN,NaN,"{'min_thresh': 0.25, 'max_thresh': 1.0, 'min_size': 150, 'mineccentricity': 0.5, 'minsolidity': 0.89}"
