Name,NumCells,NumActive,NumInactive,FractionActive,FractionInactive,Parameters
E - 02(fld 01 wv Cy3 - Cy3),17,5,12,0.29411764705882354,0.7058823529411765,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 02 wv Cy3 - Cy3),30,8,22,0.26666666666666666,0.7333333333333333,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 03 wv Cy3 - Cy3),22,8,14,0.36363636363636365,0.6363636363636364,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 04 wv Cy3 - Cy3),2,0,2,0.0,1.0,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 05 wv Cy3 - Cy3),6,2,4,0.3333333333333333,0.6666666666666666,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 06 wv Cy3 - Cy3),12,2,10,0.16666666666666666,0.8333333333333334,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 07 wv Cy3 - Cy3),17,4,13,0.23529411764705882,0.7647058823529411,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 08 wv Cy3 - Cy3),31,10,21,0.3225806451612903,0.6774193548387096,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 09 wv Cy3 - Cy3),60,22,38,0.36666666666666664,0.6333333333333333,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
E - 02(fld 10 wv Cy3 - Cy3),53,7,46,0.1320754716981132,0.8679245283018868,"{'min_thresh': 400, 'max_thresh': 5000, 'min_size': 150, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
