Name,NumCells,NumActive,NumInactive,FractionActive,FractionInactive,Parameters
A - 07(fld 01 wv Cy3 - Cy3),39,3,36,0.07692307692307693,0.9230769230769231,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 02 wv Cy3 - Cy3),30,10,20,0.3333333333333333,0.6666666666666666,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 03 wv Cy3 - Cy3),16,2,14,0.125,0.875,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 04 wv Cy3 - Cy3),24,2,22,0.08333333333333333,0.9166666666666666,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 05 wv Cy3 - Cy3),44,11,33,0.25,0.75,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 06 wv Cy3 - Cy3),90,15,75,0.16666666666666666,0.8333333333333334,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 07 wv Cy3 - Cy3),4,1,3,0.25,0.75,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 08 wv Cy3 - Cy3),47,9,38,0.19148936170212766,0.8085106382978723,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 09 wv Cy3 - Cy3),43,12,31,0.27906976744186046,0.7209302325581395,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 10 wv Cy3 - Cy3),19,10,9,0.5263157894736842,0.47368421052631576,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 11 wv Cy3 - Cy3),16,4,12,0.25,0.75,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 12 wv Cy3 - Cy3),68,7,61,0.10294117647058823,0.8970588235294118,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 13 wv Cy3 - Cy3),94,19,75,0.20212765957446807,0.7978723404255319,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 14 wv Cy3 - Cy3),4,2,2,0.5,0.5,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 15 wv Cy3 - Cy3),26,4,22,0.15384615384615385,0.8461538461538461,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 16 wv Cy3 - Cy3),26,5,21,0.19230769230769232,0.8076923076923077,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 17 wv Cy3 - Cy3),34,11,23,0.3235294117647059,0.6764705882352942,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 18 wv Cy3 - Cy3),32,5,27,0.15625,0.84375,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 19 wv Cy3 - Cy3),78,18,60,0.23076923076923078,0.7692307692307693,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
A - 07(fld 20 wv Cy3 - Cy3),96,23,73,0.23958333333333334,0.7604166666666666,"{'min_thresh': 500, 'max_thresh': 10000, 'min_size': 200, 'mineccentricity': 0.4, 'minsolidity': 0.92}"
